ablation_type,ablation_details,pearson_corr,spearman_corr,pearson_delta,spearman_delta,pearson_p_value,spearman_p_value,pearson_ci_lower,pearson_ci_upper,spearman_ci_lower,spearman_ci_upper,pearson_mean_diff,spearman_mean_diff,observed_pearson_diff,observed_spearman_diff,pearson_mean_diff_boot,pearson_ci_95,pearson_p_value_boot,pearson_p_value_perm,spearman_mean_diff_boot,spearman_ci_95,spearman_p_value_boot,spearman_p_value_perm
full,none,0.9580760019468981,0.9541518677410681,0.0,0.0,,,,,,,,,,,,,,,,,,
branch,dino_ablated,0.9307344020259412,0.9271439028024281,-0.02734159992095697,-0.027007964938639994,,,,,,,,,-0.02734159992095697,-0.027007964938639994,-0.02733192589299196,"(np.float64(-0.032390588618808114), np.float64(-0.022548331485623435))",0.9967,0.0,-0.027021939518478245,"(np.float64(-0.033403129917545314), np.float64(-0.021324325973598762))",0.995,0.0
branch,resnet_ablated,0.838862934082166,0.8234605459645886,-0.11921306786473218,-0.13069132177647946,,,,,,,,,-0.11921306786473218,-0.13069132177647946,-0.11920669374477263,"(np.float64(-0.132820710688004), np.float64(-0.10651074450768214))",0.9993,0.0,-0.130671646842961,"(np.float64(-0.14692140597169376), np.float64(-0.11576984806127104))",0.9975,0.0
resnet_layer,layer_1,0.9573417594322244,0.9527161698131992,-0.0007342425146736886,-0.0014356979278689064,,,,,,,,,-0.0007342425146736886,-0.0014356979278689064,-0.0007394353394023027,"(np.float64(-0.0017437361489462033), np.float64(0.00023676165283595383))",0.9888,0.1306,-0.0014435869104595922,"(np.float64(-0.003078889389237856), np.float64(8.92569769560947e-05))",0.9894,0.0252
resnet_layer,layer_2,0.953061280854673,0.9476826608441711,-0.005014721092225116,-0.006469206896897006,,,,,,,,,-0.005014721092225116,-0.006469206896897006,-0.005020059920632266,"(np.float64(-0.006904660517781427), np.float64(-0.003272451971427638))",0.9947,0.0,-0.0064772254312928665,"(np.float64(-0.009270580299498628), np.float64(-0.0038032701394887652))",0.9938,0.0
resnet_layer,layer_3,0.9481187872399173,0.9415654748086159,-0.009957214706980855,-0.012586392932452228,,,,,,,,,-0.009957214706980855,-0.012586392932452228,-0.009940494151703838,"(np.float64(-0.01269910809480702), np.float64(-0.007475280092182017))",0.9848,0.0,-0.01257325895371069,"(np.float64(-0.01636056563206625), np.float64(-0.00925857512431621))",0.9927,0.0
resnet_layer,layer_4,0.9525531995548894,0.9468853013553339,-0.005522802392008752,-0.007266566385734197,,,,,,,,,-0.005522802392008752,-0.007266566385734197,-0.005525447715178707,"(np.float64(-0.007119251501217309), np.float64(-0.003940183330931598))",0.9957,0.0,-0.007268022951054546,"(np.float64(-0.00974383102788228), np.float64(-0.004946934891898845))",0.9992,0.0
dino_dim,dim_1,0.958069617538258,0.9541414043878022,-6.384408640092154e-06,-1.0463353265932618e-05,,,,,,,,,-6.384408640092154e-06,-1.0463353265932618e-05,-6.361345598883694e-06,"(np.float64(-7.758648845271943e-05), np.float64(6.123305934253352e-05))",0.9991,0.8125,-1.0492035377273844e-05,"(np.float64(-0.00012133932662935998), np.float64(9.973828982512344e-05))",0.9992,0.7796
dino_dim,dim_2,0.9580782355888596,0.9541754620548373,2.2336419615021086e-06,2.3594313769192965e-05,,,,,,,,,2.2336419615021086e-06,2.3594313769192965e-05,2.1780274288878745e-06,"(np.float64(-0.00017583614483751065), np.float64(0.0001877647151093063))",0.9989,0.9741,2.401400840939133e-05,"(np.float64(-0.0002566933471369098), np.float64(0.0003188001698268714))",0.9969,0.8161
dino_dim,dim_3,0.9580728543803971,0.9540931708264165,-3.1475665009939036e-06,-5.869691465154592e-05,,,,,,,,,-3.1475665009939036e-06,-5.869691465154592e-05,-2.926110595276332e-06,"(np.float64(-9.115471955909338e-05), np.float64(8.589627568118534e-05))",0.9951,0.9264,-5.8036883160963596e-05,"(np.float64(-0.00022474519357719048), np.float64(0.00010623714234813876))",0.9921,0.3165
